,lesion,malaise,lethargy,acute episodes,bleeding from anus,dehydration,leaking of urine,mental confusion,sadness,grinding teeth,self-neglect,bad taste in mouth,hallucinations,diogenes syndrome,choking,shaking,watery eyes,thick saliva,metallic taste in mouth,bloating,tenderness to touch,fits of rage,pain when moving eyes,taste of acid in mouth,spasms,vision loss,restless,sore tongue,cloudy vision,compulsive behavior,loss of balance,nosebleed,cracks at corner of mouth,ringing in ears,tightness,low libido,change in stools,short attention span,joint instability,difficulty finding words,heaviness,bloody sputum,heartburn,spots on tonsils,hearing loss,mucus,burning urination,grooved tongue,difficulty talking,heavy menstrual bleeding,late menstrual period,bulge,early morning waking,tiredness,feeling faint,gum sores,loss of smell,belching,furry tongue,damaged teeth enamel,post nasal drip,frightening dreams,hoarse voice,inability to exercise,poor hygiene,delusions,swollen tonsils,jaundice,ear ache,sore throat,agitation,constipation,numbness,abdominal pain,nausea,back pain,chill,wheezing,drowsiness,labored breathing,fatigue,fever,diarrhea,dizziness,urinary urgency,shortness of breath,palpitation,aggression,bleeding,blurred vision,bruising,confusion,phlegm,dark urine,disorientation,drooping eyelid,dry mouth,dry skin,elbow pain,skin rash,fainting,fast heart rate,leg pain,loss of appetite,low blood pressure,nasal congestion,pelvic pain,runny nose,shoulder pain,urinary retention,vaginal discharge,easy bruising,mouth sores,dry eyes,loss of speech,cold feet,decreased appetite,swollen lymph nodes,tingling,involuntary movements,bitter almond odor on breath,rectal incontinence,bleeding gums,swollen tongue,mood swings,excessive sweating,morning stiffness,bad breath,difficulty urinating,stiff neck,cloudy urine with strong odor,hot flashes,cold hands,skin bumps,hair loss,discharge from penis,warm to touch face,sweat,distended stomach,weight loss,muscle twitch,tremor,fall,bleeding of vagina,cough,pain chest,muscle cramps,muscle pain,testicle pain,joint pain,vomiting,enlarged  pupils,painful intercourse,red  eyes,shaking hands,swollen lips,headache,red spots on the skin,swollen glands,memory loss,bulging veins,white patches on tongue,difficulty swallowing,weakness,difficulty concentrate,seizures,broken bone,missed menstrual period,increased thirst,abnormal gait,restless  legs,!lesion,!malaise,!lethargy,!acute episodes,!bleeding from anus,!dehydration,!leaking of urine,!mental confusion,!sadness,!grinding teeth,!self-neglect,!bad taste in mouth,!hallucinations,!diogenes syndrome,!choking,!shaking,!watery eyes,!thick saliva,!metallic taste in mouth,!bloating,!tenderness to touch,!fits of rage,!pain when moving eyes,!taste of acid in mouth,!spasms,!vision loss,!restless,!sore tongue,!cloudy vision,!compulsive behavior,!loss of balance,!nosebleed,!cracks at corner of mouth,!ringing in ears,!tightness,!low libido,!change in stools,!short attention span,!joint instability,!difficulty finding words,!heaviness,!bloody sputum,!heartburn,!spots on tonsils,!hearing loss,!mucus,!burning urination,!grooved tongue,!difficulty talking,!heavy menstrual bleeding,!late menstrual period,!bulge,!early morning waking,!tiredness,!feeling faint,!gum sores,!loss of smell,!belching,!furry tongue,!damaged teeth enamel,!post nasal drip,!frightening dreams,!hoarse voice,!inability to exercise,!poor hygiene,!delusions,!swollen tonsils,!jaundice,!ear ache,!sore throat,!agitation,!constipation,!numbness,!abdominal pain,!nausea,!back pain,!chill,!wheezing,!drowsiness,!labored breathing,!fatigue,!fever,!diarrhea,!dizziness,!urinary urgency,!shortness of breath,!palpitation,!aggression,!bleeding,!blurred vision,!bruising,!confusion,!phlegm,!dark urine,!disorientation,!drooping eyelid,!dry mouth,!dry skin,!elbow pain,!skin rash,!fainting,!fast heart rate,!leg pain,!loss of appetite,!low blood pressure,!nasal congestion,!pelvic pain,!runny nose,!shoulder pain,!urinary retention,!vaginal discharge,!easy bruising,!mouth sores,!dry eyes,!loss of speech,!cold feet,!decreased appetite,!swollen lymph nodes,!tingling,!involuntary movements,!bitter almond odor on breath,!rectal incontinence,!bleeding gums,!swollen tongue,!mood swings,!excessive sweating,!morning stiffness,!bad breath,!difficulty urinating,!stiff neck,!cloudy urine with strong odor,!hot flashes,!cold hands,!skin bumps,!hair loss,!discharge from penis,!warm to touch face,!sweat,!distended stomach,!weight loss,!muscle twitch,!tremor,!fall,!bleeding of vagina,!cough,!pain chest,!muscle cramps,!muscle pain,!testicle pain,!joint pain,!vomiting,!enlarged  pupils,!painful intercourse,!red  eyes,!shaking hands,!swollen lips,!headache,!red spots on the skin,!swollen glands,!memory loss,!bulging veins,!white patches on tongue,!difficulty swallowing,!weakness,!difficulty concentrate,!seizures,!broken bone,!missed menstrual period,!increased thirst,!abnormal gait,!restless  legs,Sum,Age18-35,Age35-55,Age55+,Female,Male,%-%nosebleed%-%Low%-%,%-%nosebleed%-%Medium%-%,%-%nosebleed%-%Strong%-%,%-%abdominal pain%-%Low%-%,%-%abdominal pain%-%Medium%-%,%-%abdominal pain%-%Strong%-%,%-%back pain%-%Low%-%,%-%back pain%-%Medium%-%,%-%back pain%-%Strong%-%,%-%elbow pain%-%Low%-%,%-%elbow pain%-%Medium%-%,%-%elbow pain%-%Strong%-%,%-%leg pain%-%Low%-%,%-%leg pain%-%Medium%-%,%-%leg pain%-%Strong%-%,%-%pelvic pain%-%Low%-%,%-%pelvic pain%-%Medium%-%,%-%pelvic pain%-%Strong%-%,%-%shoulder pain%-%Low%-%,%-%shoulder pain%-%Medium%-%,%-%shoulder pain%-%Strong%-%,%-%pain chest%-%Low%-%,%-%pain chest%-%Medium%-%,%-%pain chest%-%Strong%-%,%-%muscle pain%-%Low%-%,%-%muscle pain%-%Medium%-%,%-%muscle pain%-%Strong%-%,%-%testicle pain%-%Low%-%,%-%testicle pain%-%Medium%-%,%-%testicle pain%-%Strong%-%,%-%joint pain%-%Low%-%,%-%joint pain%-%Medium%-%,%-%joint pain%-%Strong%-%,%-%headache%-%Low%-%,%-%headache%-%Medium%-%,%-%headache%-%Strong%-%
brain aneurysm,1,1,1,1,1,1,1,1,1,728,1,1,617,1,1,1,1,1,1,1,1,708,1,1,1,1,1,1,1,1,1,603,1,636,1,1,1,1,1,482,1,1,662,1,926,1,1,1,481,1,1,1,732,1,1,645,1,1,1,1,1,572,1,1,1,1,1,1,901,1,782,1,774,1,654,865,800,1,891,1,878,759,1,766,1,1,1,1,933,697,734,821,1,1,516,892,911,1,1,496,1,1,1,1,1,1,1,1,1,1,1,1,829,852,1,1,1,1,583,1,1,1,867,1,608,563,1,1,1,741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,486,1,1,1,1,1,749,657,1,623,1,1,479,1,589,1,736,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,272,999,999,383,999,999,999,999,999,999,999,999,292,999,999,999,999,999,999,999,999,999,397,999,364,999,999,999,999,999,518,999,999,338,999,74,999,999,999,519,999,999,999,268,999,999,355,999,999,999,999,999,428,999,999,999,999,999,999,99,999,218,999,226,999,346,135,200,999,109,999,122,241,999,234,999,999,999,999,67,303,266,179,999,999,484,108,89,999,999,504,999,999,999,999,999,999,999,999,999,999,999,999,171,148,999,999,999,999,417,999,999,999,133,999,392,437,999,999,999,259,999,999,999,999,999,999,999,999,999,999,999,999,999,999,514,999,999,999,999,999,251,343,999,377,999,999,521,999,411,999,264,999,999,999,999,999,999,999,999,999,999,944,172,277,495,372,572,197,92,314,1,1,1,305,201,359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90,81,308
brain tumor,455,1,467,1,1,1,1,711,1,1,684,1,611,405,1,1,1,1,1,1,1,1,1,1,1,583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,739,1,1,1,1,1,1,1,573,411,1,1,1,1,742,1,679,1,542,1,1,1,1,1,403,1,1,515,588,1,1,523,1,420,1,724,1,1,528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,696,1,1,1,669,1,1,1,1,1,440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,527,786,1,1,706,1,658,1,1,635,1,1,1,646,1,606,1,727,1,491,1,545,999,533,999,999,999,999,289,999,999,316,999,389,595,999,999,999,999,999,999,999,999,999,999,999,417,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,261,999,999,999,999,999,999,999,427,589,999,999,999,999,258,999,321,999,458,999,999,999,999,999,597,999,999,485,412,999,999,477,999,580,999,276,999,999,472,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,304,999,999,999,331,999,999,999,999,999,560,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,473,214,999,999,294,999,342,999,999,365,999,999,999,354,999,394,999,273,999,509,999,789,124,103,562,360,429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,150,191,317
chronic bronchitis,1,614,671,1,1,1,1,1,1,631,1,471,1,1,544,444,692,607,1,761,1,1,542,628,411,1,1,482,555,434,1,582,710,719,669,1,685,1,470,1,676,678,1,648,578,1,1,425,696,1,705,429,1,1,539,457,1,716,746,401,656,1,523,399,1,1,515,1,540,561,528,451,676,1,460,746,767,452,1,715,505,678,486,462,1,546,613,1,751,642,428,1,425,619,1,1,612,1,677,450,549,504,1,1,1,549,1,548,575,1,1,1,420,680,545,681,475,1,607,1,670,1,675,618,1,584,619,464,1,397,721,750,726,566,1,1,1,735,541,688,1,1,1,483,673,432,399,1,486,742,579,1,1,565,1,1,738,462,683,1,435,728,391,567,1,421,1,1,767,1,1,999,386,329,999,999,999,999,999,999,369,999,529,999,999,456,556,308,393,999,239,999,999,458,372,589,999,999,518,445,566,999,418,290,281,331,999,315,999,530,999,324,322,999,352,422,999,999,575,304,999,295,571,999,999,461,543,999,284,254,599,344,999,477,601,999,999,485,999,460,439,472,549,324,999,540,254,233,548,999,285,495,322,514,538,999,454,387,999,249,358,572,999,575,381,999,999,388,999,323,550,451,496,999,999,999,451,999,452,425,999,999,999,580,320,455,319,525,999,393,999,330,999,325,382,999,416,381,536,999,603,279,250,274,434,999,999,999,265,459,312,999,999,999,517,327,568,601,999,514,258,421,999,999,435,999,999,262,538,317,999,565,272,609,433,999,579,999,999,233,999,999,776,132,168,476,308,468,196,59,327,1,1,1,192,193,361,94,202,381,1,1,1,1,1,1,105,138,332,97,118,217,1,1,1,135,80,271,158,147,437,232,99,407
bunions,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,449,1,1,1,1,1,1,1,1,1,1,1,1,569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,532,1,1,560,1,1,567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,546,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,551,999,999,999,999,999,999,999,999,999,999,999,999,431,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,317,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,468,999,999,440,999,999,433,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,792,190,186,416,299,493,1,1,1,1,1,1,75,62,312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,135,101,331,1,1,1
cervical cancer,1,1,590,1,822,1,1,1,789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,760,890,681,555,1,1,1,541,1,521,1,1,1,1,1,531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,678,1,713,1,1,1,713,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,500,1,1,1,1,1,1,487,1,658,1,1,1,1,783,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,410,999,178,999,999,999,211,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,240,110,319,445,999,999,999,459,999,479,999,999,999,999,999,469,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,322,999,287,999,999,999,287,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,500,999,999,999,999,999,999,513,999,342,999,999,999,999,217,999,999,999,999,999,999,999,999,999,999,999,999,999,921,213,112,596,434,487,1,1,1,120,163,477,69,156,456,1,1,1,1,1,1,169,135,409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cholera,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,708,1,1,1,1,1,1,1,1,1,1,1,1,1,382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,465,1,1,1,409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,292,999,999,999,999,999,999,999,999,999,999,999,999,999,618,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,535,999,999,999,591,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,730,214,156,360,392,338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cirrhosis,750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,517,1,1,1,1,1,632,1,1,861,1,1,1,1,1,1,567,1,1,1,1,1,1,1,1,1,758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,541,1,1,1,1,671,1,1,1,1,1,1,1,1,649,1,1,1,1,1,1,1,788,756,1,1,1,484,1,1,1,466,786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,717,1,1,1,1,1,1,1,1,1,665,250,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,394,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,483,999,999,999,999,999,368,999,999,139,999,999,999,999,999,999,433,999,999,999,999,999,999,999,999,999,242,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,459,999,999,999,999,329,999,999,999,999,999,999,999,999,351,999,999,999,999,999,999,999,212,244,999,999,999,516,999,999,999,534,214,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,283,999,999,999,999,999,999,999,999,999,335,890,118,207,565,457,433,1,1,1,87,112,433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
creutzfeldt-jakob disease,1,1,1,1,1,1,1,1,1,1,664,1,445,580,1,1,1,1,1,1,1,1,1,1,1,561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,625,1,1,1,469,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,336,999,555,420,999,999,999,999,999,999,999,999,999,999,999,439,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,316,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,375,999,999,999,531,999,999,999,999,999,999,999,804,215,82,507,393,411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dengue fever,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,432,497,656,1,1,1,1,673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,556,1,1,1,1,1,1,1,1,1,1,1,637,1,1,1,1,1,405,1,1,1,1,375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,710,1,450,675,1,1,1,1,1,492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,568,503,344,999,999,999,999,327,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,444,999,999,999,999,999,999,999,999,999,999,999,363,999,999,999,999,999,595,999,999,999,999,625,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,290,999,550,325,999,999,999,999,999,508,999,999,999,999,999,999,999,999,999,999,999,999,999,999,733,179,214,340,362,371,1,1,1,1,1,1,176,91,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,157,127,426,1,1,1,53,79,318,79,139,274
diabetes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,817,1,1,1,1,1,1,1,1,1,543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,540,1,1,530,1,1,1,1,924,1,1,479,1,507,763,1,1,1,1,1,1,1,1,1,1,868,701,1,1,887,1,828,1,1,1,1,1,1,894,1,1,1,1,1,528,1,1,682,1,1,699,752,1,1,1,1,927,1,1,1,1,814,1,1,1,1,547,1,760,1,1,1,1,1,746,1,1,1,1,890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,763,1,695,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,183,999,999,999,999,999,999,999,999,999,457,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,374,999,999,999,999,999,999,999,999,999,999,999,999,999,999,460,999,999,470,999,999,999,999,76,999,999,521,999,493,237,999,999,999,999,999,999,999,999,999,999,132,299,999,999,113,999,172,999,999,999,999,999,999,106,999,999,999,999,999,472,999,999,318,999,999,301,248,999,999,999,999,73,999,999,999,999,186,999,999,999,999,453,999,240,999,999,999,999,999,254,999,999,999,999,110,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,237,999,305,931,261,168,502,428,503,1,1,1,1,1,1,1,1,1,1,1,1,290,95,443,1,1,1,1,1,1,128,119,499,1,1,1,1,1,1,1,1,1,1,1,1
diverticulosis,653,1,1,1,698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,731,1,639,653,529,631,1,1,1,1,1,530,470,1,1,1,1,625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,536,1,1,1,755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347,999,999,999,302,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,269,999,361,347,471,369,999,999,999,999,999,470,530,999,999,999,999,375,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,464,999,999,999,245,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,790,136,129,525,467,323,1,1,1,99,107,433,190,137,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ebola,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,705,1,1,1,767,1,1,1,1,1,1,1,606,664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,756,525,1,1,1,1,1,507,1,1,1,1,1,1,760,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,295,999,999,999,233,999,999,999,999,999,999,999,394,336,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,585,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,244,475,999,999,999,999,999,493,999,999,999,999,999,999,240,999,999,999,999,999,999,999,778,193,124,461,455,323,1,1,1,255,147,365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,140,96,520,191,113,203
epilepsy,1,1,486,1,1,1,629,725,536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,701,1,1,519,1,1,1,1,484,1,1,1,1,503,684,1,1,1,1,1,1,646,1,1,1,1,1,1,1,1,437,612,1,1,604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,417,588,416,1,1,1,1,1,1,1,1,1,1,1,1,1,415,1,1,1,1,1,1,382,1,394,1,1,1,561,1,999,999,514,999,999,999,371,275,464,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,299,999,999,481,999,999,999,999,516,999,999,999,999,497,316,999,999,999,999,999,999,354,999,999,999,999,999,999,999,999,563,388,999,999,396,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,583,412,584,999,999,999,999,999,999,999,999,999,999,999,999,999,585,999,999,999,999,999,999,618,999,606,999,999,999,439,999,735,74,78,583,454,281,1,1,1,204,67,248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,105,249
erectile dysfunction,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,559,1,1,1,402,1,1,1,1,1,1,1,1,1,1,463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,591,1,1,592,1,1,1,1,1,1,1,473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,598,1,1,1,1,1,1,1,1,1,757,1,1,1,1,1,1,671,1,1,1,1,1,1,1,1,1,1,553,1,513,1,1,1,399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,441,999,999,999,598,999,999,999,999,999,999,999,999,999,999,537,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,460,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,409,999,999,408,999,999,999,999,999,999,999,527,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,402,999,999,999,999,999,999,999,999,999,243,999,999,999,999,999,999,329,999,999,999,999,999,999,999,999,999,999,447,999,487,999,999,999,601,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,795,201,217,377,372,423,1,1,1,1,1,1,138,149,305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,152,54,307,1,1,1,1,1,1
